Th1;Th2;CN;Nodes;Edges;A;B;C;D;E;Metric
0.023;0.016;15;23;59;0.7623534;0.8033126;0.8600351;0.7736599;0.31721535;70.33153
0.024;0.016;15;23;60;0.76238906;0.7991718;0.8574723;0.77385044;0.31727317;70.20314
0.025;0.016;15;23;60;0.76238906;0.7991718;0.8574723;0.77385044;0.31727317;70.20314
0.026;0.016;15;23;60;0.76238906;0.7991718;0.8574723;0.77385044;0.31727317;70.20314
0.027;0.016;15;23;60;0.76238906;0.7991718;0.8574723;0.77385044;0.31727317;70.20314
0.028;0.016;15;23;60;0.76238906;0.7991718;0.8574723;0.77385044;0.31727317;70.20314
0.029;0.016;15;23;60;0.76238906;0.7991718;0.8574723;0.77385044;0.31727317;70.20314
0.03;0.016;15;23;60;0.76238906;0.7991718;0.8574723;0.77385044;0.31727317;70.20314
0.031;0.016;15;23;60;0.76238906;0.7991718;0.8574723;0.77385044;0.31727317;70.20314
0.006;0.017;15;58;84;0.8158305;0.96613306;0.8446139;0.8783295;0.35529253;77.20399
0.007;0.017;15;52;83;0.79450804;0.95615387;0.85355246;0.8605683;0.3419655;76.134964
0.008;0.017;15;50;84;0.7922242;0.9508333;0.85524935;0.86043894;0.33300126;75.834946
0.009;0.017;15;44;74;0.8044944;0.94372296;0.84851056;0.8466841;0.34728566;75.81395
0.01;0.017;15;43;80;0.7947345;0.93363583;0.84199804;0.842366;0.3484878;75.22444
0.011;0.017;15;40;77;0.77405894;0.925;0.84709275;0.83713675;0.34111646;74.4881
0.012;0.017;15;37;77;0.7345209;0.9096525;0.8452632;0.83801997;0.30201232;72.58938
0.013;0.017;15;30;67;0.72618645;0.8761905;0.85483044;0.8198005;0.29209146;71.38199
0.014;0.017;15;27;58;0.7913651;0.8681481;0.8612731;0.83017206;0.2665301;72.34977
0.015;0.017;15;26;69;0.74042714;0.82051283;0.85441124;0.8041559;0.27389938;69.86813
0.016;0.017;15;25;70;0.7717339;0.8000001;0.85597444;0.79821897;0.27921203;70.10279
0.017;0.017;15;22;60;0.76070094;0.77727276;0.86040384;0.7985299;0.26759836;69.290115
0.018;0.017;15;22;56;0.7775527;0.7954546;0.8578099;0.7903371;0.25965738;69.616234
0.019;0.017;15;20;49;0.75284153;0.78333336;0.84770286;0.8234775;0.26658478;69.4788
0.02;0.017;15;20;45;0.76020175;0.8055556;0.8605215;0.8336641;0.25296497;70.25815
0.021;0.017;15;20;45;0.76020175;0.8055556;0.8605215;0.8336641;0.25296497;70.25815
0.022;0.017;15;20;45;0.75189966;0.8055556;0.8642349;0.82756966;0.25407925;70.06679
0.023;0.017;15;20;44;0.7520264;0.81111115;0.86301744;0.827664;0.25407925;70.157974
0.024;0.017;15;20;44;0.7520264;0.81111115;0.86301744;0.827664;0.25407925;70.157974
0.025;0.017;15;20;44;0.7520264;0.81111115;0.86301744;0.827664;0.25407925;70.157974
0.026;0.017;15;20;44;0.7520264;0.81111115;0.86301744;0.827664;0.25407925;70.157974
0.027;0.017;15;20;44;0.7520264;0.81111115;0.86301744;0.827664;0.25407925;70.157974
0.028;0.017;15;20;44;0.7520264;0.81111115;0.86301744;0.827664;0.25407925;70.157974
0.029;0.017;15;20;44;0.7520264;0.81111115;0.86301744;0.827664;0.25407925;70.157974
0.03;0.017;15;20;44;0.7520264;0.81111115;0.86301744;0.827664;0.25407925;70.157974
0.031;0.017;15;20;44;0.7520264;0.81111115;0.86301744;0.827664;0.25407925;70.157974
0.006;0.018;15;49;72;0.82015127;0.9587495;0.874507;0.862679;0.3509629;77.340996
0.007;0.018;15;49;73;0.80829805;0.95788103;0.86634576;0.8582853;0.352609;76.868385
0.008;0.018;15;44;72;0.7902985;0.94588745;0.8621914;0.839484;0.3367758;75.49275
0.009;0.018;15;37;71;0.723755;0.9189189;0.83445555;0.8109629;0.33888695;72.53959
0.01;0.018;15;33;63;0.7146536;0.90909094;0.8441357;0.812552;0.3433999;72.47664
0.011;0.018;15;33;68;0.7298692;0.8993157;0.8395627;0.7889525;0.33507928;71.85558
0.012;0.018;15;33;68;0.7298692;0.8993157;0.8395627;0.7889525;0.33507928;71.85558
